map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h
crohot,62814dccae,5,forest,9,288.3,32.8237,0.5968,0.0405,0.8744,1.0,0.558,0.0192,0.0654,0.0,0.9351,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,10,537.3,32.8237,0.3048,0.1055,0.1222,1.0,0.1065,0.0978,0.4852,0.0,0.3495,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,11,739.7,32.8237,0.4981,0.2249,0.3343,1.0,0.288,0.1798,0.4077,0.0,0.5782,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,12,391.5,32.8237,0.9035,0.1437,0.8621,1.0,0.8389,0.0694,0.0788,0.0,0.9285,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,13,651.5,32.8237,0.5171,0.199,0.5234,1.0,0.3741,0.1365,0.2857,0.0,0.7235,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,14,504.9,32.8237,0.0,0.0,0.0,0.9068,0.0,0.0,0.5,0.0,0.0,0.0466,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,15,269.0,32.8237,0.2056,0.1787,0.0,1.0,0.0,0.1787,0.5893,0.0,0.0,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,16,454.8,32.8237,0.6557,0.0,0.7549,1.0,0.5698,0.0,0.1225,0.0,0.8689,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,17,436.1,32.8237,0.6917,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1165,0.4936,0.6222
crohot,62814dccae,5,forest,18,1311.3,32.8237,1.0,0.1635,0.9704,1.0,0.9851,0.0683,0.0172,0.0,0.9851,0.0,0.8702,0.1165,0.4936,0.6222
